id,post_id,ingredient_id
PM03279,P83810,M14593
PM36049,P83810,M97197
PM29257,P83810,M32099
PM13435,P18289,M96531
PM97081,P18289,M88697
PM11396,P18289,M71483
PM55303,P18289,M77398
PM03906,P18289,M04166
PM28658,P18289,M12281
PM66238,P18289,M30496
PM03479,P18289,M78908
PM26063,P18289,M73564
PM85182,P18289,M93851
PM71427,P18289,M91925
PM28894,P18289,M54988
PM77237,P18289,M58879
PM00852,P18289,M36464
PM20927,P18289,M99459
PM55393,P18289,M91507
